"id","title","description","acceptance_criteria","story_points","priority","status","sprint","notes"
"PBI-001","Demo App インフラ基盤構築（DynamoDB・API Gateway・Lambda実行ロール）","インフラエンジニアとして、Demo Web App の基盤インフラ（DynamoDB テーブル、API Gateway、Lambda 実行ロール）を Terraform で構築したい。なぜなら、アプリケーション開発の前提となるインフラを整備する必要があるから。","・DynamoDB テーブル（Post）が作成されること
・API Gateway REST API が作成されること
・Lambda 実行ロールが最小権限で作成されること
・terraform plan が正常に完了すること","5","Critical","Done","sprint001","DA-F-01〜DA-F-05 の前提"
"PBI-002","投稿一覧取得 API の実装（GET /posts）","ユーザーとして、全投稿の一覧を取得したい。なぜなら、どんな投稿があるか確認したいから。","・GET /posts で全投稿が JSON 配列で返却されること
・投稿がない場合は空配列が返却されること
・レスポンスに id, title, body, createdAt, updatedAt が含まれること
・構造化ログが出力されること","3","Critical","Done","sprint001","DA-F-01"
"PBI-003","投稿作成 API の実装（POST /posts）","ユーザーとして、タイトルと本文を指定して新規投稿を作成したい。なぜなら、情報を投稿して共有したいから。","・POST /posts でタイトルと本文を送信し投稿が作成されること
・UUID が自動採番されること
・createdAt/updatedAt が自動設定されること
・バリデーションエラー時に 400 が返却されること
・構造化ログが出力されること","3","Critical","Done","sprint001","DA-F-02"
"PBI-004","投稿詳細取得 API の実装（GET /posts/:id）","ユーザーとして、特定の投稿の詳細を取得したい。なぜなら、投稿の全文を確認したいから。","・GET /posts/:id で指定した投稿が返却されること
・存在しない ID の場合 404 が返却されること
・構造化ログが出力されること","2","Critical","Done","sprint001","DA-F-03"
"PBI-005","投稿削除 API の実装（DELETE /posts/:id）","ユーザーとして、不要な投稿を削除したい。なぜなら、不要な情報を整理したいから。","・DELETE /posts/:id で指定した投稿が削除されること
・存在しない ID の場合 404 が返却されること
・削除後に再取得すると 404 になること
・構造化ログが出力されること","2","Critical","Done","sprint001","DA-F-04"
"PBI-006","Lambda 構造化ログ共通モジュールの実装","開発者として、全 Lambda 関数で統一された JSON 形式の構造化ログを出力したい。なぜなら、Observability Platform でログを正しく解析するために統一フォーマットが必要だから。","・共通ログモジュールが作成されること
・timestamp, level, service, endpoint, requestId, message が出力されること
・リクエスト完了時に statusCode, durationMs が追加出力されること
・エラー時に errorCode, errorType が追加出力されること
・ログレベル INFO/WARN/ERROR が正しく機能すること","3","Critical","Done","sprint001","DA-F-05; OP のログ取得の前提"
"PBI-007","Demo App フロントエンド - 投稿一覧・作成画面","ユーザーとして、ブラウザで投稿一覧を閲覧し新規投稿を作成したい。なぜなら、直感的な UI で投稿を管理したいから。","・投稿一覧がリスト表示されること
・新規作成フォーム（タイトル・本文）が表示されること
・作成後に一覧が更新されること
・Next.js Static Export でビルドできること
・Tailwind CSS でスタイリングされていること","5","High","Ready","","DA-F-01, DA-F-02 のフロントエンド"
"PBI-008","Demo App フロントエンド - 投稿詳細・削除画面","ユーザーとして、投稿の詳細を確認し不要な投稿を削除したい。なぜなら、投稿内容の確認と整理をブラウザ上で行いたいから。","・投稿詳細画面で全フィールド（title, body, createdAt, updatedAt）が表示されること
・削除ボタンで投稿が削除できること
・削除後に一覧画面にリダイレクトされること
・確認ダイアログが表示されること","3","High","Ready","","DA-F-03, DA-F-04 のフロントエンド"
"PBI-009","Demo App ホスティングインフラ構築（CloudFront + S3）","インフラエンジニアとして、Demo App のフロントエンドを CloudFront + S3 でホスティングしたい。なぜなら、低コストで高パフォーマンスな静的サイト配信を実現したいから。","・S3 バケットが作成されること
・CloudFront ディストリビューションが設定されること
・Next.js Static Export が配信できること
・terraform plan が正常に完了すること","5","High","Ready","","DA-F-01〜DA-F-04 のホスティング"
"PBI-010","OP インフラ基盤構築（API Gateway・Lambda 実行ロール）","インフラエンジニアとして、Observability Platform のバックエンド基盤を Terraform で構築したい。なぜなら、CloudWatch API へのアクセスに必要なインフラを整備する必要があるから。","・API Gateway REST API が作成されること
・Lambda 実行ロールに CloudWatch 読み取り権限が付与されること
・IAM ポリシーが最小権限であること
・terraform plan が正常に完了すること","5","Critical","Done","sprint001","OP-F-01〜OP-F-24 の前提"
